Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	Missense_Mutation	Nonsense_Mutation	Splice_Site	total	MutatedSamples	AlteredSamples
USP8	0	0	6	0	0	6	6	6
TDRD6	0	3	0	0	0	3	3	3
RBMX	0	1	2	0	0	3	2	2
ACIN1	2	0	0	0	0	2	2	2
BCLAF1	0	0	2	0	0	2	2	2
CEP290	0	2	0	0	0	2	2	2
HMMR	0	2	0	0	0	2	2	2
PRKDC	0	2	0	0	0	2	2	2
RFC3	1	1	0	0	0	2	2	2
RP11-830F9.6	0	2	0	0	0	2	2	2
RUFY2	2	0	0	0	0	2	2	2
TBC1D31	0	2	0	0	0	2	2	2
TRIM77	0	2	0	0	0	2	2	2
USP40	0	1	1	0	0	2	2	2
FAM186A	0	0	2	0	0	2	1	1
IGLV2-14	0	0	2	0	0	2	1	1
AC119673.1	0	1	0	0	0	1	1	1
ACTR6	0	0	1	0	0	1	1	1
ADAMTS7	0	0	1	0	0	1	1	1
AHCTF1	0	0	1	0	0	1	1	1
AKT1	1	0	0	0	0	1	1	1
ALS2CR12	0	0	1	0	0	1	1	1
ANKHD1	0	0	0	0	1	1	1	1
ANKRD12	0	0	0	1	0	1	1	1
ANTXR2	1	0	0	0	0	1	1	1
ASH1L	0	1	0	0	0	1	1	1
ATAD3B	0	0	1	0	0	1	1	1
ATP6V1C2	1	0	0	0	0	1	1	1
B4GALNT1	0	1	0	0	0	1	1	1
BEND5	0	1	0	0	0	1	1	1
BRD7	1	0	0	0	0	1	1	1
BTBD3	0	0	1	0	0	1	1	1
C1orf173	0	0	1	0	0	1	1	1
C4orf6	0	1	0	0	0	1	1	1
CCDC168	0	1	0	0	0	1	1	1
CCDC182	0	0	1	0	0	1	1	1
CD163L1	0	0	1	0	0	1	1	1
CD3G	1	0	0	0	0	1	1	1
CDH22	0	0	1	0	0	1	1	1
CDKL2	0	1	0	0	0	1	1	1
CEBPZ	1	0	0	0	0	1	1	1
CENPJ	0	0	1	0	0	1	1	1
CYP2D6	0	0	1	0	0	1	1	1
DCAF8L2	0	0	1	0	0	1	1	1
DHRS4L2	0	0	1	0	0	1	1	1
DNAH3	0	0	1	0	0	1	1	1
DNAH5	0	0	1	0	0	1	1	1
DNAJC11	1	0	0	0	0	1	1	1
DTX4	1	0	0	0	0	1	1	1
DTYMK	0	0	1	0	0	1	1	1
DYDC1	0	0	1	0	0	1	1	1
EEF1A1	0	0	1	0	0	1	1	1
EIF4A2	0	0	0	1	0	1	1	1
ENAM	0	0	1	0	0	1	1	1
EPC1	0	0	1	0	0	1	1	1
FAM111B	1	0	0	0	0	1	1	1
FAM134A	0	1	0	0	0	1	1	1
FBRS	0	1	0	0	0	1	1	1
FCER2	0	0	1	0	0	1	1	1
FCGBP	0	0	1	0	0	1	1	1
FIP1L1	1	0	0	0	0	1	1	1
GART	1	0	0	0	0	1	1	1
GOLGA6L2	1	0	0	0	0	1	1	1
GOT1L1	0	1	0	0	0	1	1	1
GREB1L	0	0	1	0	0	1	1	1
GYS1	0	0	1	0	0	1	1	1
HCN1	0	0	1	0	0	1	1	1
HEG1	0	0	1	0	0	1	1	1
HLA-DRB5	0	0	1	0	0	1	1	1
HLTF	0	0	1	0	0	1	1	1
HOXB7	0	1	0	0	0	1	1	1
HSPA5	0	0	1	0	0	1	1	1
HSPD1	0	0	1	0	0	1	1	1
IGHV4-4	0	0	1	0	0	1	1	1
IGSF22	0	0	1	0	0	1	1	1
KCNMA1	0	1	0	0	0	1	1	1
KCTD7	0	0	1	0	0	1	1	1
KIAA1456	0	0	0	0	1	1	1	1
KIF2B	0	0	1	0	0	1	1	1
KIR2DL3	0	0	1	0	0	1	1	1
KLK6	0	0	1	0	0	1	1	1
LCE1D	0	0	1	0	0	1	1	1
LCE2B	0	0	1	0	0	1	1	1
LILRA4	0	0	1	0	0	1	1	1
