Tumor_Sample_Barcode	Frame_Shift_Del	Frame_Shift_Ins	Missense_Mutation	Nonsense_Mutation	Splice_Site	total
PC_PC_TNP055-tumor	2	2	11	2	1	18
PC_PC_TNP145-tumor	4	2	11	0	1	18
PC_PC_TNP148-tumor	2	3	13	0	0	18
PC_PC_TNP060-tumor	6	2	9	0	0	17
PC_PC_TNP057-tumor	4	5	6	0	0	15
PC_PC_TNP146-tumor	3	1	10	0	1	15
PC_PC_TNP064-tumor	2	8	2	0	0	12
PC_PC_TNP059-tumor	1	2	7	1	0	11
PC_PC_TNP058-tumor	1	2	7	0	0	10
PC_PC_TNP056-tumor	3	3	2	0	1	9
PC_PC_TNP066-tumor	2	3	4	0	0	9
PC_PC_TNP061-tumor	0	4	4	0	0	8
PC_PC_TNP065-tumor	0	1	4	2	0	7
PC_PC_TNP068-tumor	0	2	5	0	0	7
PC_PC_TNP127-tumor	1	1	4	0	1	7
PC_PC_TNP062-tumor	1	2	3	0	0	6
PC_PC_TNP063-tumor	1	1	1	0	0	3
PC_PC_TNP143-tumor	1	1	1	0	0	3
PC_PC_TNP069-tumor	0	2	0	0	0	2
PC_PC_TNP128-tumor	1	0	1	0	0	2
