Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	Missense_Mutation	Nonsense_Mutation	total	MutatedSamples	AlteredSamples
CTNNB1	0	0	6	0	6	6	6
SETD8	0	0	5	0	5	4	4
DDX11	0	0	2	0	2	2	2
MKI67	2	0	0	0	2	2	2
MUC4	0	0	2	0	2	2	2
ULK4	2	0	0	0	2	2	2
USP40	0	2	0	0	2	2	2
ZMYM4	0	2	0	0	2	2	2
FOLR3	0	0	2	0	2	1	1
RETSAT	0	0	2	0	2	1	1
ABHD17A	0	0	1	0	1	1	1
AC079354.1	1	0	0	0	1	1	1
AC093157.1	0	1	0	0	1	1	1
AIM2	0	1	0	0	1	1	1
ASTE1	1	0	0	0	1	1	1
BCL10	1	0	0	0	1	1	1
C14orf23	1	0	0	0	1	1	1
C22orf42	0	0	1	0	1	1	1
CCDC74A	0	0	1	0	1	1	1
CDS1	1	0	0	0	1	1	1
CEBPZ	1	0	0	0	1	1	1
CEL	0	0	1	0	1	1	1
CEP290	1	0	0	0	1	1	1
CHD2	0	1	0	0	1	1	1
CIR1	0	1	0	0	1	1	1
CROCC	0	0	1	0	1	1	1
CTSZ	0	0	1	0	1	1	1
CYP4X1	0	0	1	0	1	1	1
DNAH8	1	0	0	0	1	1	1
DRD5	0	0	1	0	1	1	1
DYRK1A	0	0	0	1	1	1	1
FAM111B	1	0	0	0	1	1	1
FHOD3	1	0	0	0	1	1	1
FIP1L1	1	0	0	0	1	1	1
GOT1L1	0	1	0	0	1	1	1
GYPB	0	0	1	0	1	1	1
HNMT	0	0	1	0	1	1	1
IK	1	0	0	0	1	1	1
IL34	0	1	0	0	1	1	1
IPP	1	0	0	0	1	1	1
KANSL1L	1	0	0	0	1	1	1
KIAA0391	1	0	0	0	1	1	1
KIAA2026	1	0	0	0	1	1	1
KRTAP9-2	0	0	1	0	1	1	1
LILRA3	0	0	1	0	1	1	1
LRCH4	0	0	1	0	1	1	1
LRP6	0	0	1	0	1	1	1
MOK	0	1	0	0	1	1	1
MYL1	1	0	0	0	1	1	1
NDUFC2	1	0	0	0	1	1	1
PARP4	0	0	1	0	1	1	1
PCDHB4	0	1	0	0	1	1	1
PCNX	0	0	1	0	1	1	1
PIEZO2	0	0	1	0	1	1	1
PPP1R9A	0	0	1	0	1	1	1
PRSS3	0	0	1	0	1	1	1
PSME4	0	1	0	0	1	1	1
RBM26	0	1	0	0	1	1	1
RGL2	0	1	0	0	1	1	1
ROM1	1	0	0	0	1	1	1
RUFY2	0	1	0	0	1	1	1
RXFP2	1	0	0	0	1	1	1
SLC20A1	1	0	0	0	1	1	1
SLC26A2	0	0	1	0	1	1	1
SLC35F5	1	0	0	0	1	1	1
SLC35G5	0	0	1	0	1	1	1
SMC6	1	0	0	0	1	1	1
STAP2	0	0	1	0	1	1	1
STAT5B	1	0	0	0	1	1	1
SVIL	0	0	1	0	1	1	1
SYCP2L	0	0	1	0	1	1	1
TAF1L	0	0	1	0	1	1	1
TMEM14B	0	0	1	0	1	1	1
TOPAZ1	1	0	0	0	1	1	1
TRGV5	0	0	1	0	1	1	1
TRMT10C	1	0	0	0	1	1	1
TUBB8	0	0	0	1	1	1	1
USP1	1	0	0	0	1	1	1
UVRAG	0	1	0	0	1	1	1
WDR64	1	0	0	0	1	1	1
WRAP53	0	1	0	0	1	1	1
ZC3H13	1	0	0	0	1	1	1
