Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
RBMX	0	3	4	0	0	0	0	7	6	6
SETD8	0	0	8	0	0	0	0	8	5	5
ZC3H13	4	0	0	0	0	0	0	4	4	4
ATP6V1C2	3	0	0	0	0	0	0	3	3	3
CEP290	1	2	0	0	0	0	0	3	3	3
DNAJC11	3	0	0	0	0	0	0	3	3	3
FOXP2	0	0	0	0	0	3	0	3	3	3
MSH6	3	0	0	0	0	0	0	3	3	3
MUC4	0	0	3	0	0	0	0	3	3	3
MYH1	0	0	2	1	0	0	0	3	3	3
OR52N5	2	0	1	0	0	0	0	3	3	3
OR7C1	0	3	0	0	0	0	0	3	3	3
PABPC1	0	0	3	0	0	0	0	3	3	3
SIGLEC10	0	0	3	0	0	0	0	3	3	3
TTN	0	0	2	1	0	0	0	3	3	3
TXLNG	3	0	0	0	0	0	0	3	3	3
USP40	0	3	0	0	0	0	0	3	3	3
WNK1	1	1	1	0	0	0	0	3	3	3
CACNA1C	0	0	3	0	0	0	0	3	2	2
TPSD1	0	0	3	0	0	0	0	3	2	2
ABCB4	0	2	0	0	0	0	0	2	2	2
AC087645.1	2	0	0	0	0	0	0	2	2	2
ACIN1	2	0	0	0	0	0	0	2	2	2
ANGPT2	0	1	1	0	0	0	0	2	2	2
CCDC30	2	0	0	0	0	0	0	2	2	2
CDC27	0	0	2	0	0	0	0	2	2	2
CSPG4	0	0	2	0	0	0	0	2	2	2
DEK	0	0	2	0	0	0	0	2	2	2
FAM186A	0	0	2	0	0	0	0	2	2	2
FAM47C	0	0	2	0	0	0	0	2	2	2
FAP	0	0	1	1	0	0	0	2	2	2
FCGR2C	0	0	2	0	0	0	0	2	2	2
IGSF3	0	0	2	0	0	0	0	2	2	2
KIAA1549L	0	0	1	1	0	0	0	2	2	2
MST1	0	0	2	0	0	0	0	2	2	2
MUC16	0	0	2	0	0	0	0	2	2	2
NCAM1	2	0	0	0	0	0	0	2	2	2
PARP14	0	2	0	0	0	0	0	2	2	2
PCDH1	0	0	2	0	0	0	0	2	2	2
PDE4DIP	1	0	1	0	0	0	0	2	2	2
PEX1	2	0	0	0	0	0	0	2	2	2
PRKRA	0	0	2	0	0	0	0	2	2	2
RBM25	2	0	0	0	0	0	0	2	2	2
RBM26	0	2	0	0	0	0	0	2	2	2
RETSAT	0	0	2	0	0	0	0	2	2	2
RFC3	2	0	0	0	0	0	0	2	2	2
SACS	0	0	1	1	0	0	0	2	2	2
SLAMF7	0	0	2	0	0	0	0	2	2	2
SMAP1	0	2	0	0	0	0	0	2	2	2
TBC1D25	0	0	2	0	0	0	0	2	2	2
TMBIM4	0	2	0	0	0	0	0	2	2	2
TMEM97	0	2	0	0	0	0	0	2	2	2
TRIM77	0	2	0	0	0	0	0	2	2	2
UVRAG	0	2	0	0	0	0	0	2	2	2
WBP1	2	0	0	0	0	0	0	2	2	2
ITGA5	0	0	2	0	0	0	0	2	1	1
MUC12	0	0	2	0	0	0	0	2	1	1
NDUFS1	1	1	0	0	0	0	0	2	1	1
ZNF30	0	0	1	1	0	0	0	2	1	1
ZXDB	0	0	2	0	0	0	0	2	1	1
ABCA13	0	0	1	0	0	0	0	1	1	1
AC068987.1	1	0	0	0	0	0	0	1	1	1
ACAN	0	0	1	0	0	0	0	1	1	1
ACKR3	0	0	1	0	0	0	0	1	1	1
ACSS3	0	0	1	0	0	0	0	1	1	1
ADAM21	0	0	1	0	0	0	0	1	1	1
ADAM30	0	0	1	0	0	0	0	1	1	1
ADAMTS17	0	0	1	0	0	0	0	1	1	1
ADCYAP1R1	0	0	1	0	0	0	0	1	1	1
ADD3	0	0	1	0	0	0	0	1	1	1
ADSL	0	0	1	0	0	0	0	1	1	1
AGO2	0	0	1	0	0	0	0	1	1	1
AHNAK2	0	0	1	0	0	0	0	1	1	1
AKAP9	1	0	0	0	0	0	0	1	1	1
ALDH1A1	0	0	1	0	0	0	0	1	1	1
ALDH1L1	0	0	1	0	0	0	0	1	1	1
ALDH3A1	0	0	1	0	0	0	0	1	1	1
ALG1L	0	0	1	0	0	0	0	1	1	1
ALMS1	0	0	1	0	0	0	0	1	1	1
ALPP	0	0	1	0	0	0	0	1	1	1
AMOTL1	1	0	0	0	0	0	0	1	1	1
AMPD2	0	0	1	0	0	0	0	1	1	1
ANK3	0	0	1	0	0	0	0	1	1	1
ANKRD30B	0	0	1	0	0	0	0	1	1	1
APEH	0	0	1	0	0	0	0	1	1	1
APLF	0	0	1	0	0	0	0	1	1	1
APOB	0	0	1	0	0	0	0	1	1	1
APOBR	0	0	1	0	0	0	0	1	1	1
ARAP2	0	0	1	0	0	0	0	1	1	1
AREL1	0	0	1	0	0	0	0	1	1	1
ARHGAP5	0	0	1	0	0	0	0	1	1	1
ARHGEF12	0	0	1	0	0	0	0	1	1	1
ARID1A	0	0	1	0	0	0	0	1	1	1
ARL14EP	0	0	1	0	0	0	0	1	1	1
AS3MT	0	0	1	0	0	0	0	1	1	1
ASTE1	1	0	0	0	0	0	0	1	1	1
ATAD3B	0	0	1	0	0	0	0	1	1	1
ATF7IP	0	0	1	0	0	0	0	1	1	1
ATR	1	0	0	0	0	0	0	1	1	1
B3GNT1	0	0	1	0	0	0	0	1	1	1
BCLAF1	0	0	1	0	0	0	0	1	1	1
BEND5	0	1	0	0	0	0	0	1	1	1
BNIP1	1	0	0	0	0	0	0	1	1	1
BRWD1	0	0	1	0	0	0	0	1	1	1
BTBD10	0	0	1	0	0	0	0	1	1	1
BTBD7	0	1	0	0	0	0	0	1	1	1
BTBD9	0	0	1	0	0	0	0	1	1	1
C10orf32	0	0	1	0	0	0	0	1	1	1
C14orf28	1	0	0	0	0	0	0	1	1	1
C1QTNF1	0	0	1	0	0	0	0	1	1	1
C22orf34	0	0	1	0	0	0	0	1	1	1
C2orf71	0	0	1	0	0	0	0	1	1	1
C3orf30	0	1	0	0	0	0	0	1	1	1
C4orf21	0	0	1	0	0	0	0	1	1	1
C7	0	0	1	0	0	0	0	1	1	1
C7orf25	0	0	1	0	0	0	0	1	1	1
C7orf72	0	0	1	0	0	0	0	1	1	1
CACNA1D	0	0	0	0	0	1	0	1	1	1
CAMSAP1	0	1	0	0	0	0	0	1	1	1
CASD1	0	0	1	0	0	0	0	1	1	1
CASKIN2	0	0	1	0	0	0	0	1	1	1
CCDC125	0	0	1	0	0	0	0	1	1	1
CCDC178	0	1	0	0	0	0	0	1	1	1
CCDC18	0	0	1	0	0	0	0	1	1	1
CCDC64B	0	0	1	0	0	0	0	1	1	1
CCDC74A	0	0	1	0	0	0	0	1	1	1
CDH26	0	1	0	0	0	0	0	1	1	1
CDH8	0	0	0	1	0	0	0	1	1	1
CEL	0	0	1	0	0	0	0	1	1	1
CHAF1A	0	0	1	0	0	0	0	1	1	1
CHD2	0	1	0	0	0	0	0	1	1	1
CHD6	0	0	1	0	0	0	0	1	1	1
CHD7	0	0	1	0	0	0	0	1	1	1
CHD9	0	0	0	1	0	0	0	1	1	1
CHPF2	0	0	1	0	0	0	0	1	1	1
CHRNA3	0	0	1	0	0	0	0	1	1	1
CLEC18A	0	0	1	0	0	0	0	1	1	1
CNTFR	0	0	1	0	0	0	0	1	1	1
CNTN5	0	0	0	1	0	0	0	1	1	1
COIL	1	0	0	0	0	0	0	1	1	1
COL12A1	0	0	0	0	0	1	0	1	1	1
COL14A1	0	0	1	0	0	0	0	1	1	1
COL1A2	0	0	1	0	0	0	0	1	1	1
COL5A1	1	0	0	0	0	0	0	1	1	1
COL6A6	0	0	1	0	0	0	0	1	1	1
CPA1	0	0	1	0	0	0	0	1	1	1
CPED1	0	0	1	0	0	0	0	1	1	1
CXADR	0	0	1	0	0	0	0	1	1	1
CYB5R1	0	0	1	0	0	0	0	1	1	1
DDX1	0	0	1	0	0	0	0	1	1	1
DHCR7	0	0	1	0	0	0	0	1	1	1
