Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	Missense_Mutation	Nonsense_Mutation	Splice_Site	total	MutatedSamples	AlteredSamples
USP8	0	0	6	0	0	6	6	6
MAGEA6	0	0	8	0	0	8	5	5
IGHG4	0	0	3	0	0	3	3	3
MUC16	1	0	2	0	0	3	3	3
MUC3A	0	0	3	0	0	3	3	3
SETD8	0	0	3	0	0	3	2	2
IGHG1	0	0	2	0	0	2	2	2
KCTD7	0	0	2	0	0	2	2	2
PDE4DIP	0	0	2	0	0	2	2	2
PRG4	0	0	2	0	0	2	2	2
DOLK	0	0	2	0	0	2	1	1
IGLV2-14	0	0	2	0	0	2	1	1
KIR2DL3	0	0	2	0	0	2	1	1
RBMX	0	1	1	0	0	2	1	1
UBTF	0	0	2	0	0	2	1	1
ZNF626	0	0	2	0	0	2	1	1
ACTR6	0	0	1	0	0	1	1	1
ADAMTS7	0	0	1	0	0	1	1	1
AHCTF1	0	0	1	0	0	1	1	1
AHNAK2	0	0	1	0	0	1	1	1
AKT1	1	0	0	0	0	1	1	1
ANKHD1	0	0	0	0	1	1	1	1
ATAD3B	0	0	1	0	0	1	1	1
BAZ1B	0	0	0	1	0	1	1	1
BRD9	0	0	1	0	0	1	1	1
BTBD3	0	0	1	0	0	1	1	1
C17orf47	0	0	1	0	0	1	1	1
C1orf173	0	0	1	0	0	1	1	1
CDH22	0	0	1	0	0	1	1	1
CENPJ	0	0	1	0	0	1	1	1
CHD6	0	0	1	0	0	1	1	1
DCAF8L2	0	0	1	0	0	1	1	1
DEK	0	0	1	0	0	1	1	1
DHRS4L2	0	0	1	0	0	1	1	1
DNAH3	0	0	1	0	0	1	1	1
DNAH5	0	0	1	0	0	1	1	1
EIF4A2	0	0	0	1	0	1	1	1
ENAM	0	0	1	0	0	1	1	1
EPC1	0	0	1	0	0	1	1	1
FAM134A	0	1	0	0	0	1	1	1
FCER2	0	0	1	0	0	1	1	1
FRG1	0	1	0	0	0	1	1	1
FRG1B	0	0	1	0	0	1	1	1
GREB1L	0	0	1	0	0	1	1	1
GYS1	0	0	1	0	0	1	1	1
HCN1	0	0	1	0	0	1	1	1
HEG1	0	0	1	0	0	1	1	1
HLTF	0	0	1	0	0	1	1	1
HSPA5	0	0	1	0	0	1	1	1
IGHG3	0	0	1	0	0	1	1	1
IGSF22	0	0	1	0	0	1	1	1
KDM3A	0	0	1	0	0	1	1	1
KIF2B	0	0	1	0	0	1	1	1
KLK6	0	0	1	0	0	1	1	1
KMT2C	0	0	1	0	0	1	1	1
LCE2B	0	0	1	0	0	1	1	1
LILRA4	0	0	1	0	0	1	1	1
MAF	0	0	1	0	0	1	1	1
MASP1	0	0	0	0	1	1	1	1
MEF2C	0	0	0	1	0	1	1	1
MUC12	0	0	1	0	0	1	1	1
MUC4	0	0	1	0	0	1	1	1
MURC	0	0	1	0	0	1	1	1
NDUFV2	0	0	1	0	0	1	1	1
NID2	0	0	1	0	0	1	1	1
NOS1	0	0	1	0	0	1	1	1
NOTCH2	1	0	0	0	0	1	1	1
NPY1R	0	0	1	0	0	1	1	1
NT5C3A	0	0	1	0	0	1	1	1
OR2M3	0	0	1	0	0	1	1	1
PAPSS2	0	0	1	0	0	1	1	1
PFKM	0	0	1	0	0	1	1	1
PLCL1	0	0	1	0	0	1	1	1
PLVAP	0	0	1	0	0	1	1	1
PRKRA	0	0	1	0	0	1	1	1
PRKX	0	0	0	0	1	1	1	1
RNF34	0	0	1	0	0	1	1	1
RP11-1055B8.7	0	0	1	0	0	1	1	1
RP11-830F9.6	0	1	0	0	0	1	1	1
RPA4	0	0	0	1	0	1	1	1
RRN3	0	0	1	0	0	1	1	1
SPATA5L1	0	0	1	0	0	1	1	1
SPRR1A	0	0	1	0	0	1	1	1
SPTLC1	0	0	1	0	0	1	1	1
STAP1	0	0	1	0	0	1	1	1
TBC1D31	0	1	0	0	0	1	1	1
TCEAL3	0	1	0	0	0	1	1	1
TEKT5	0	0	1	0	0	1	1	1
TJP1	0	0	1	0	0	1	1	1
TNRC6B	0	0	1	0	0	1	1	1
TPTE	0	0	1	0	0	1	1	1
TRAF2	0	0	1	0	0	1	1	1
TRBV20-1	0	0	1	0	0	1	1	1
TRIM77	0	1	0	0	0	1	1	1
TRRAP	0	0	1	0	0	1	1	1
TSTD2	0	0	1	0	0	1	1	1
UACA	0	0	1	0	0	1	1	1
UHRF1BP1L	0	0	1	0	0	1	1	1
USP40	0	0	1	0	0	1	1	1
USP51	0	0	1	0	0	1	1	1
USP6	0	0	1	0	0	1	1	1
VPS13B	1	0	0	0	0	1	1	1
WDR46	0	0	1	0	0	1	1	1
YLPM1	0	0	0	1	0	1	1	1
ZBTB33	0	0	1	0	0	1	1	1
ZNF217	0	1	0	0	0	1	1	1
