Tumor_Sample_Barcode	Frame_Shift_Del	Frame_Shift_Ins	Missense_Mutation	Nonsense_Mutation	Splice_Site	total
PC_PC_TNP055-tumor	2	2	12	1	1	18
PC_PC_TNP146-tumor	1	0	14	0	1	16
PC_PC_TNP145-tumor	1	0	13	0	1	15
PC_PC_TNP148-tumor	0	0	14	0	0	14
PC_PC_TNP127-tumor	0	2	9	0	0	11
PC_PC_TNP066-tumor	0	1	9	0	0	10
PC_PC_TNP058-tumor	0	0	9	0	0	9
PC_PC_TNP064-tumor	0	3	6	0	0	9
PC_PC_TNP057-tumor	0	0	7	0	0	7
PC_PC_TNP059-tumor	0	0	5	2	0	7
PC_PC_TNP062-tumor	0	0	6	0	0	6
PC_PC_TNP061-tumor	0	0	3	0	0	3
PC_PC_TNP069-tumor	0	0	3	0	0	3
PC_PC_TNP065-tumor	0	0	1	1	0	2
PC_PC_TNP068-tumor	0	0	2	0	0	2
PC_PC_TNP056-tumor	0	0	1	0	0	1
PC_PC_TNP063-tumor	0	0	1	0	0	1
PC_PC_TNP128-tumor	0	0	0	1	0	1
PC_PC_TNP143-tumor	0	0	1	0	0	1
