Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	Missense_Mutation	Nonsense_Mutation	total	MutatedSamples	AlteredSamples
CTNNB1	0	0	6	0	6	6	6
NPEPPS	0	0	3	0	3	3	3
SETD8	0	0	3	0	3	3	3
AHNAK2	0	0	2	0	2	2	2
CEL	0	0	2	0	2	2	2
IGHG1	0	0	2	0	2	2	2
PRG4	0	0	2	0	2	2	2
MAGEA6	0	0	2	0	2	1	1
RETSAT	0	0	2	0	2	1	1
ABHD17A	0	0	1	0	1	1	1
AIM2	0	1	0	0	1	1	1
C14orf23	1	0	0	0	1	1	1
C1orf173	0	0	1	0	1	1	1
C22orf42	0	0	1	0	1	1	1
CDC27	0	0	1	0	1	1	1
CROCC	0	0	1	0	1	1	1
CTSZ	0	0	1	0	1	1	1
DRD5	0	0	1	0	1	1	1
DYRK1A	0	0	0	1	1	1	1
GYPB	0	0	1	0	1	1	1
HRNR	0	0	1	0	1	1	1
IGHV3-48	0	0	1	0	1	1	1
KANSL1L	1	0	0	0	1	1	1
KRTAP10-4	0	0	1	0	1	1	1
KRTAP4-7	0	0	1	0	1	1	1
KRTAP9-2	0	0	1	0	1	1	1
LRCH4	0	0	1	0	1	1	1
LRP6	0	0	1	0	1	1	1
MUC16	0	0	1	0	1	1	1
NBPF1	0	0	1	0	1	1	1
OR11H1	0	0	1	0	1	1	1
OR4N4	0	1	0	0	1	1	1
OR5H1	0	0	1	0	1	1	1
OR5H14	0	0	1	0	1	1	1
PARP4	0	0	1	0	1	1	1
PCNX	0	0	1	0	1	1	1
PIEZO2	0	0	1	0	1	1	1
PPP1R9A	0	0	1	0	1	1	1
PSME4	0	1	0	0	1	1	1
RGL2	0	1	0	0	1	1	1
RHPN2	0	0	1	0	1	1	1
SIGLEC10	0	0	1	0	1	1	1
SLC26A2	0	0	1	0	1	1	1
SLC35G5	0	0	1	0	1	1	1
STAP2	0	0	1	0	1	1	1
SVIL	0	0	1	0	1	1	1
SYCP2L	0	0	1	0	1	1	1
TAF1L	0	0	1	0	1	1	1
TRMT10C	1	0	0	0	1	1	1
USP40	0	1	0	0	1	1	1
UVRAG	0	1	0	0	1	1	1
ZNF799	0	1	0	0	1	1	1
