Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
MAGEA6	0	0	25	0	0	0	0	25	14	14
SETD8	0	0	20	0	0	0	0	20	14	14
IGHG1	0	0	13	0	0	0	0	13	13	13
PRG4	0	0	13	0	0	0	0	13	13	13
MUC16	1	0	11	0	0	0	0	12	11	11
MUC3A	0	0	11	0	0	0	0	11	11	11
GNAS	0	0	8	0	0	0	0	8	8	8
IGHG4	0	0	8	0	0	0	0	8	8	8
NPEPPS	0	0	8	0	0	0	0	8	8	8
AHNAK2	0	0	7	0	0	0	0	7	7	7
CTNNB1	0	0	6	0	0	0	0	6	6	6
USP8	0	0	6	0	0	0	0	6	6	6
PCMTD1	0	0	7	0	0	0	0	7	5	5
RBMX	0	2	5	0	0	0	0	7	5	5
KRTAP4-7	0	0	5	0	0	0	0	5	4	4
CBS	0	0	0	4	0	0	0	4	4	4
FRG1B	0	0	4	0	0	0	0	4	4	4
PDE4DIP	1	0	3	0	0	0	0	4	4	4
SIGLEC10	0	0	4	0	0	0	0	4	4	4
ATAD3B	0	0	3	0	0	0	0	3	3	3
CHD6	0	0	3	0	0	0	0	3	3	3
KRTAP4-11	0	0	3	0	0	0	0	3	3	3
NDUFV2	0	0	3	0	0	0	0	3	3	3
OR5H14	0	0	3	0	0	0	0	3	3	3
SVIL	0	0	3	0	0	0	0	3	3	3
TRIM77	0	3	0	0	0	0	0	3	3	3
TTN	0	0	2	1	0	0	0	3	3	3
USP40	0	2	1	0	0	0	0	3	3	3
MUC12	0	0	5	0	0	0	0	5	2	2
UBTF	0	0	4	0	0	0	0	4	2	2
HRNR	0	0	3	0	0	0	0	3	2	2
RETSAT	0	0	3	0	0	0	0	3	2	2
ZNF30	1	0	1	1	0	0	0	3	2	2
ZNF626	0	0	3	0	0	0	0	3	2	2
ALMS1	0	0	2	0	0	0	0	2	2	2
ARHGAP23	0	0	2	0	0	0	0	2	2	2
BRWD1	1	0	1	0	0	0	0	2	2	2
C1orf173	0	0	2	0	0	0	0	2	2	2
CACNA1C	0	0	2	0	0	0	0	2	2	2
CDC27	0	0	2	0	0	0	0	2	2	2
CEL	0	0	2	0	0	0	0	2	2	2
CES1	0	0	2	0	0	0	0	2	2	2
DRD5	0	0	2	0	0	0	0	2	2	2
FAM47C	0	0	2	0	0	0	0	2	2	2
FIP1L1	2	0	0	0	0	0	0	2	2	2
IGHG2	0	0	2	0	0	0	0	2	2	2
INSL6	0	0	2	0	0	0	0	2	2	2
KCTD7	0	0	2	0	0	0	0	2	2	2
KIR2DL1	0	0	2	0	0	0	0	2	2	2
KMT2C	0	0	1	1	0	0	0	2	2	2
KRT38	0	0	0	2	0	0	0	2	2	2
LILRA4	0	0	2	0	0	0	0	2	2	2
LRP6	0	0	2	0	0	0	0	2	2	2
MAP4K4	0	0	2	0	0	0	0	2	2	2
MUC4	0	0	2	0	0	0	0	2	2	2
MYH1	0	0	1	1	0	0	0	2	2	2
NID2	0	0	2	0	0	0	0	2	2	2
NPIPB15	0	0	2	0	0	0	0	2	2	2
PAPSS2	0	0	2	0	0	0	0	2	2	2
PTPRZ1	1	0	1	0	0	0	0	2	2	2
RHPN2	0	0	1	1	0	0	0	2	2	2
SACS	0	0	1	1	0	0	0	2	2	2
