Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
IGHG1	0	0	8	0	0	0	0	8	8	8
PRG4	0	0	8	0	0	0	0	8	8	8
SETD8	0	0	12	0	0	0	0	12	7	7
MUC16	0	0	8	0	0	0	0	8	7	7
MAGEA6	0	0	11	0	0	0	0	11	6	6
NPEPPS	0	0	5	0	0	0	0	5	5	5
PCMTD1	0	0	6	0	0	0	0	6	4	4
IGHG4	0	0	4	0	0	0	0	4	4	4
RBMX	0	1	3	0	0	0	0	4	3	3
AHNAK2	0	0	3	0	0	0	0	3	3	3
MUC3A	0	0	3	0	0	0	0	3	3	3
TTN	0	0	2	1	0	0	0	3	3	3
KRTAP4-7	0	0	3	0	0	0	0	3	2	2
ARHGAP23	0	0	2	0	0	0	0	2	2	2
ATAD3B	0	0	2	0	0	0	0	2	2	2
CACNA1C	0	0	2	0	0	0	0	2	2	2
CBS	0	0	0	2	0	0	0	2	2	2
FAM47C	0	0	2	0	0	0	0	2	2	2
FRG1B	0	0	2	0	0	0	0	2	2	2
KRTAP4-11	0	0	2	0	0	0	0	2	2	2
MAP4K4	0	0	2	0	0	0	0	2	2	2
MYH1	0	0	1	1	0	0	0	2	2	2
OR5H14	0	0	2	0	0	0	0	2	2	2
PDE4DIP	1	0	1	0	0	0	0	2	2	2
PTPRZ1	1	0	1	0	0	0	0	2	2	2
SACS	0	0	1	1	0	0	0	2	2	2
SIGLEC10	0	0	2	0	0	0	0	2	2	2
SPDYE3	0	0	2	0	0	0	0	2	2	2
TBC1D25	0	0	2	0	0	0	0	2	2	2
MUC12	0	0	4	0	0	0	0	4	1	1
ITGA5	0	0	2	0	0	0	0	2	1	1
LILRA6	0	0	2	0	0	0	0	2	1	1
UBTF	0	0	2	0	0	0	0	2	1	1
ZNF30	0	0	1	1	0	0	0	2	1	1
ABCA13	0	0	1	0	0	0	0	1	1	1
ABCA9	0	0	1	0	0	0	0	1	1	1
ACKR3	0	0	1	0	0	0	0	1	1	1
ACSS3	0	0	1	0	0	0	0	1	1	1
ADAM30	0	0	1	0	0	0	0	1	1	1
ADAMTS17	0	0	1	0	0	0	0	1	1	1
ADCYAP1R1	0	0	1	0	0	0	0	1	1	1
ADD3	0	0	1	0	0	0	0	1	1	1
ADSL	0	0	1	0	0	0	0	1	1	1
AGO2	0	0	1	0	0	0	0	1	1	1
ALDH1A1	0	0	1	0	0	0	0	1	1	1
ALDH1L1	0	0	1	0	0	0	0	1	1	1
ALDH3A1	0	0	1	0	0	0	0	1	1	1
ALG1L	0	0	1	0	0	0	0	1	1	1
ALMS1	0	0	1	0	0	0	0	1	1	1
ALPP	0	0	1	0	0	0	0	1	1	1
AMPD2	0	0	1	0	0	0	0	1	1	1
ANGPT2	0	0	1	0	0	0	0	1	1	1
ANKRD30B	0	0	1	0	0	0	0	1	1	1
APEH	0	0	1	0	0	0	0	1	1	1
APLF	0	0	1	0	0	0	0	1	1	1
APOBR	0	0	1	0	0	0	0	1	1	1
ARAP2	0	0	1	0	0	0	0	1	1	1
AREL1	0	0	1	0	0	0	0	1	1	1
ARHGEF12	0	0	1	0	0	0	0	1	1	1
ARID1A	0	0	1	0	0	0	0	1	1	1
ARMC4	0	0	1	0	0	0	0	1	1	1
AS3MT	0	0	1	0	0	0	0	1	1	1
ATF7IP	0	0	1	0	0	0	0	1	1	1
B3GNT1	0	0	1	0	0	0	0	1	1	1
BRWD1	0	0	1	0	0	0	0	1	1	1
BTBD10	0	0	1	0	0	0	0	1	1	1
BTBD9	0	0	1	0	0	0	0	1	1	1
C10orf32	0	0	1	0	0	0	0	1	1	1
C22orf34	0	0	1	0	0	0	0	1	1	1
C2orf71	0	0	1	0	0	0	0	1	1	1
C3orf30	0	1	0	0	0	0	0	1	1	1
C4orf21	0	0	1	0	0	0	0	1	1	1
C7	0	0	1	0	0	0	0	1	1	1
C7orf25	0	0	1	0	0	0	0	1	1	1
CACNA1D	0	0	0	0	0	1	0	1	1	1
CCDC18	0	0	1	0	0	0	0	1	1	1
CCDC19	0	1	0	0	0	0	0	1	1	1
CCDC30	1	0	0	0	0	0	0	1	1	1
CCDC64B	0	0	1	0	0	0	0	1	1	1
CD200	0	0	1	0	0	0	0	1	1	1
CDC27	0	0	1	0	0	0	0	1	1	1
CDH8	0	0	0	1	0	0	0	1	1	1
CDR1	0	0	1	0	0	0	0	1	1	1
CES1	0	0	1	0	0	0	0	1	1	1
CFHR4	0	0	1	0	0	0	0	1	1	1
CHAF1A	0	0	1	0	0	0	0	1	1	1
CHD2	0	1	0	0	0	0	0	1	1	1
CHD6	0	0	1	0	0	0	0	1	1	1
CHD7	0	0	1	0	0	0	0	1	1	1
CHD9	0	0	0	1	0	0	0	1	1	1
CHPF2	0	0	1	0	0	0	0	1	1	1
CHRNA3	0	0	1	0	0	0	0	1	1	1
CLEC18A	0	0	1	0	0	0	0	1	1	1
CNTFR	0	0	1	0	0	0	0	1	1	1
CNTN5	0	0	0	1	0	0	0	1	1	1
COL12A1	0	0	0	0	0	1	0	1	1	1
COL1A2	0	0	1	0	0	0	0	1	1	1
COL5A1	1	0	0	0	0	0	0	1	1	1
COL6A6	0	0	1	0	0	0	0	1	1	1
CPA1	0	0	1	0	0	0	0	1	1	1
CPED1	0	0	1	0	0	0	0	1	1	1
CSPG4	0	0	1	0	0	0	0	1	1	1
CXADR	0	0	1	0	0	0	0	1	1	1
CYB5R1	0	0	1	0	0	0	0	1	1	1
DCAF11	0	0	1	0	0	0	0	1	1	1
DDX1	0	0	1	0	0	0	0	1	1	1
DHCR7	0	0	1	0	0	0	0	1	1	1
DHX33	0	0	1	0	0	0	0	1	1	1
DISP1	0	0	1	0	0	0	0	1	1	1
DLL4	0	0	1	0	0	0	0	1	1	1
DMD	0	0	1	0	0	0	0	1	1	1
DNAH1	0	0	1	0	0	0	0	1	1	1
DNAI1	0	0	1	0	0	0	0	1	1	1
DNAJC19	0	0	1	0	0	0	0	1	1	1
DNAJC6	0	1	0	0	0	0	0	1	1	1
DND1	0	0	1	0	0	0	0	1	1	1
DNTTIP2	0	0	1	0	0	0	0	1	1	1
DOPEY1	0	0	1	0	0	0	0	1	1	1
DPAGT1	0	0	1	0	0	0	0	1	1	1
DSCR3	1	0	0	0	0	0	0	1	1	1
DST	0	0	1	0	0	0	0	1	1	1
DTNA	0	0	1	0	0	0	0	1	1	1
DUOX1	0	0	1	0	0	0	0	1	1	1
ECM2	0	0	1	0	0	0	0	1	1	1
ECSIT	0	0	1	0	0	0	0	1	1	1
EEF1A1	0	0	1	0	0	0	0	1	1	1
EIF1AX	0	0	1	0	0	0	0	1	1	1
ELP2	0	0	0	0	0	1	0	1	1	1
EMC2	0	0	1	0	0	0	0	1	1	1
EMR2	0	0	1	0	0	0	0	1	1	1
ENTHD1	0	0	1	0	0	0	0	1	1	1
EPHB1	0	0	1	0	0	0	0	1	1	1
ERBB2	0	0	1	0	0	0	0	1	1	1
ERICH1	0	0	1	0	0	0	0	1	1	1
FAHD2B	0	0	1	0	0	0	0	1	1	1
FAM129C	0	0	0	0	1	0	0	1	1	1
FAM13A	0	0	1	0	0	0	0	1	1	1
FAM186A	0	0	1	0	0	0	0	1	1	1
FAM21C	0	0	1	0	0	0	0	1	1	1
FAM35A	0	0	1	0	0	0	0	1	1	1
FAP	0	0	1	0	0	0	0	1	1	1
FCRL3	0	0	1	0	0	0	0	1	1	1
FCRL5	0	0	1	0	0	0	0	1	1	1
FERMT2	0	0	1	0	0	0	0	1	1	1
FGD6	0	0	1	0	0	0	0	1	1	1
FIGN	0	0	1	0	0	0	0	1	1	1
FIP1L1	1	0	0	0	0	0	0	1	1	1
FMNL1	0	0	1	0	0	0	0	1	1	1
FOXC1	0	0	1	0	0	0	0	1	1	1
FOXO3	0	1	0	0	0	0	0	1	1	1
FOXP2	0	0	0	0	0	1	0	1	1	1
FRZB	0	0	1	0	0	0	0	1	1	1
FZD3	0	0	1	0	0	0	0	1	1	1
GALNT5	0	0	1	0	0	0	0	1	1	1
GBP3	0	1	0	0	0	0	0	1	1	1
GFM2	1	0	0	0	0	0	0	1	1	1
GLYCTK	0	0	1	0	0	0	0	1	1	1
GPR149	0	0	1	0	0	0	0	1	1	1
GPRC6A	0	0	1	0	0	0	0	1	1	1
GRIA3	0	0	0	1	0	0	0	1	1	1
GRIK1	0	0	1	0	0	0	0	1	1	1
GRIP1	0	0	1	0	0	0	0	1	1	1
GRM3	0	0	1	0	0	0	0	1	1	1
GTSF1L	0	0	1	0	0	0	0	1	1	1
HCAR3	0	0	1	0	0	0	0	1	1	1
HCLS1	0	0	0	1	0	0	0	1	1	1
HLA-DRB5	0	0	0	0	0	1	0	1	1	1
HORMAD1	0	0	1	0	0	0	0	1	1	1
HSP90B1	0	0	1	0	0	0	0	1	1	1
HSPA4L	0	0	1	0	0	0	0	1	1	1
IFNA17	0	0	1	0	0	0	0	1	1	1
IFT140	0	0	1	0	0	0	0	1	1	1
IGHD2-15	0	0	1	0	0	0	0	1	1	1
IGHG2	0	0	1	0	0	0	0	1	1	1
IGHV3-7	0	0	1	0	0	0	0	1	1	1
IGLV1-36	0	0	1	0	0	0	0	1	1	1
IKZF3	0	0	1	0	0	0	0	1	1	1
IL1RL1	0	0	1	0	0	0	0	1	1	1
IMPG2	1	0	0	0	0	0	0	1	1	1
INSL6	0	0	1	0	0	0	0	1	1	1
