Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	Missense_Mutation	Nonsense_Mutation	Splice_Site	total	MutatedSamples	AlteredSamples
GNAS	0	0	8	0	0	8	8	8
AASDH	2	1	0	0	0	3	3	3
ABCB4	0	3	0	0	0	3	3	3
MUC4	0	0	3	0	0	3	3	3
RBM25	3	0	0	0	0	3	3	3
TFAM	3	0	0	0	0	3	3	3
TNXB	2	0	1	0	0	3	3	3
WDR64	2	0	1	0	0	3	3	3
ADAM21	0	0	1	1	0	2	2	2
FOXP2	0	0	0	0	2	2	2	2
KIAA0391	2	0	0	0	0	2	2	2
LRRIQ3	0	2	0	0	0	2	2	2
NDUFC2	2	0	0	0	0	2	2	2
RBM26	0	2	0	0	0	2	2	2
SEC63	2	0	0	0	0	2	2	2
SVIL	0	0	2	0	0	2	2	2
TYRO3	0	0	0	0	2	2	2	2
EIF5B	0	0	2	0	0	2	1	1
AC079354.1	0	1	0	0	0	1	1	1
AC093157.1	1	0	0	0	0	1	1	1
ACIN1	1	0	0	0	0	1	1	1
ADAMTS7	0	0	1	0	0	1	1	1
ADNP	1	0	0	0	0	1	1	1
ADORA3	0	0	0	0	1	1	1	1
AGTPBP1	0	0	0	0	1	1	1	1
AHNAK	0	0	1	0	0	1	1	1
ALMS1	0	0	1	0	0	1	1	1
ALOX12	0	0	1	0	0	1	1	1
AMER1	0	0	1	0	0	1	1	1
AMOTL2	0	0	1	0	0	1	1	1
ANAPC1	0	0	1	0	0	1	1	1
ANKRD44	1	0	0	0	0	1	1	1
ANKRD49	0	1	0	0	0	1	1	1
APC	0	0	1	0	0	1	1	1
ARHGEF26	0	0	1	0	0	1	1	1
ARMC4	0	0	1	0	0	1	1	1
ATAD2	1	0	0	0	0	1	1	1
BEND5	0	1	0	0	0	1	1	1
BMPR2	0	0	1	0	0	1	1	1
BRWD1	1	0	0	0	0	1	1	1
C1QTNF9	0	0	1	0	0	1	1	1
C1orf173	0	0	1	0	0	1	1	1
C3orf27	1	0	0	0	0	1	1	1
CASC5	0	0	1	0	0	1	1	1
CCDC178	1	0	0	0	0	1	1	1
CCDC18	0	1	0	0	0	1	1	1
CCDC63	0	1	0	0	0	1	1	1
CDC25C	0	0	1	0	0	1	1	1
CDKL2	0	1	0	0	0	1	1	1
CEACAM21	0	0	1	0	0	1	1	1
CEP164	0	1	0	0	0	1	1	1
CERK	0	0	1	0	0	1	1	1
CIAO1	0	0	1	0	0	1	1	1
CISD3	1	0	0	0	0	1	1	1
CKAP2L	0	0	1	0	0	1	1	1
CNKSR3	1	0	0	0	0	1	1	1
CNTN5	0	0	0	1	0	1	1	1
COL4A5	0	0	1	0	0	1	1	1
COL6A3	0	0	1	0	0	1	1	1
CPAMD8	0	0	1	0	0	1	1	1
CSPG4	0	0	1	0	0	1	1	1
CUL5	0	0	1	0	0	1	1	1
DACT1	0	0	1	0	0	1	1	1
DDX10	0	0	1	0	0	1	1	1
DDX60	1	0	0	0	0	1	1	1
DDX60L	1	0	0	0	0	1	1	1
DECR2	0	0	0	0	1	1	1	1
DLEU2L	0	1	0	0	0	1	1	1
DLGAP3	1	0	0	0	0	1	1	1
DNMT3A	0	0	1	0	0	1	1	1
DPY19L2	0	0	1	0	0	1	1	1
EPPK1	0	0	1	0	0	1	1	1
ESYT3	0	0	0	1	0	1	1	1
EWSR1	0	0	0	0	1	1	1	1
FAM86C1	0	0	1	0	0	1	1	1
FAM98C	0	0	1	0	0	1	1	1
FAM9A	0	1	0	0	0	1	1	1
FBXL3	1	0	0	0	0	1	1	1
FEM1C	1	0	0	0	0	1	1	1
FIP1L1	1	0	0	0	0	1	1	1
FLG	0	0	1	0	0	1	1	1
FNBP1	1	0	0	0	0	1	1	1
FOSL1	0	0	1	0	0	1	1	1
FREM2	0	0	1	0	0	1	1	1
FRG1	0	0	1	0	0	1	1	1
FRYL	0	0	1	0	0	1	1	1
GP2	0	0	1	0	0	1	1	1
GRIN3A	0	0	0	1	0	1	1	1
HEG1	0	0	1	0	0	1	1	1
HSPH1	0	1	0	0	0	1	1	1
HTT	0	0	0	0	1	1	1	1
IGSF3	0	0	1	0	0	1	1	1
IL36RN	0	0	0	0	1	1	1	1
INSC	0	0	1	0	0	1	1	1
IRS4	0	1	0	0	0	1	1	1
ITIH4	0	0	1	0	0	1	1	1
IWS1	0	0	1	0	0	1	1	1
KIAA2018	1	0	0	0	0	1	1	1
KIF1B	0	0	0	0	1	1	1	1
KIF20A	0	0	0	0	1	1	1	1
KIR2DL1	0	0	1	0	0	1	1	1
KLHDC2	0	0	1	0	0	1	1	1
KNOP1	1	0	0	0	0	1	1	1
KNTC1	0	0	1	0	0	1	1	1
KRT38	0	0	0	1	0	1	1	1
KRTAP4-9	0	0	1	0	0	1	1	1
LILRA4	0	0	1	0	0	1	1	1
LINC00955	1	0	0	0	0	1	1	1
LIPT1	1	0	0	0	0	1	1	1
LRP2	0	1	0	0	0	1	1	1
LRPPRC	0	0	1	0	0	1	1	1
LRRC37B	0	1	0	0	0	1	1	1
LTN1	1	0	0	0	0	1	1	1
MAGEB2	0	0	1	0	0	1	1	1
MARK3	0	0	1	0	0	1	1	1
MBD6	0	1	0	0	0	1	1	1
