Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	Missense_Mutation	Nonsense_Mutation	Splice_Site	total	MutatedSamples	AlteredSamples
GNAS	0	0	8	0	0	8	8	8
MUC3A	0	0	5	0	0	5	5	5
MAGEA6	0	0	4	0	0	4	2	2
CBS	0	0	0	2	0	2	2	2
KIR2DL1	0	0	2	0	0	2	2	2
SETD8	0	0	2	0	0	2	2	2
SVIL	0	0	2	0	0	2	2	2
EIF5B	0	0	2	0	0	2	1	1
HRNR	0	0	2	0	0	2	1	1
KRTAP4-8	0	0	2	0	0	2	1	1
ZNF578	0	0	2	0	0	2	1	1
ADAM21	0	0	1	0	0	1	1	1
ADNP	1	0	0	0	0	1	1	1
ADORA3	0	0	0	0	1	1	1	1
AGTPBP1	0	0	0	0	1	1	1	1
AHNAK	0	0	1	0	0	1	1	1
AHNAK2	0	0	1	0	0	1	1	1
ALMS1	0	0	1	0	0	1	1	1
ALOX12	0	0	1	0	0	1	1	1
AMOTL2	0	0	1	0	0	1	1	1
AP1G2	0	0	1	0	0	1	1	1
APC	0	0	1	0	0	1	1	1
ARHGEF26	0	0	1	0	0	1	1	1
BMPR2	0	0	1	0	0	1	1	1
BPI	0	0	1	0	0	1	1	1
BRWD1	1	0	0	0	0	1	1	1
CASC5	0	0	1	0	0	1	1	1
CDC25C	0	0	1	0	0	1	1	1
CEACAM21	0	0	1	0	0	1	1	1
CERK	0	0	1	0	0	1	1	1
CES1	0	0	1	0	0	1	1	1
CHD6	0	0	1	0	0	1	1	1
CKAP2L	0	0	1	0	0	1	1	1
COL4A5	0	0	1	0	0	1	1	1
COL6A3	0	0	1	0	0	1	1	1
CUL5	0	0	1	0	0	1	1	1
DACT1	0	0	1	0	0	1	1	1
DDX10	0	0	1	0	0	1	1	1
DNMT3A	0	0	1	0	0	1	1	1
DRD5	0	0	1	0	0	1	1	1
EWSR1	0	0	0	0	1	1	1	1
FAM98C	0	0	1	0	0	1	1	1
FEM1C	1	0	0	0	0	1	1	1
FIP1L1	1	0	0	0	0	1	1	1
FLG	0	0	1	0	0	1	1	1
FOSL1	0	0	1	0	0	1	1	1
FREM2	0	0	1	0	0	1	1	1
FRG1B	0	0	1	0	0	1	1	1
FRYL	0	0	1	0	0	1	1	1
GP2	0	0	1	0	0	1	1	1
GRIN3A	0	0	0	1	0	1	1	1
HTT	0	0	0	0	1	1	1	1
IGHG1	0	0	1	0	0	1	1	1
IGHG2	0	0	1	0	0	1	1	1
IGHG4	0	0	1	0	0	1	1	1
IGHV1-2	0	0	1	0	0	1	1	1
IGKV1-16	0	0	1	0	0	1	1	1
IGKV1D-17	0	0	1	0	0	1	1	1
IL36RN	0	0	0	0	1	1	1	1
INSC	0	0	1	0	0	1	1	1
INSL6	0	0	1	0	0	1	1	1
ITIH4	0	0	1	0	0	1	1	1
IWS1	0	0	1	0	0	1	1	1
KIF1B	0	0	0	0	1	1	1	1
KIF20A	0	0	0	0	1	1	1	1
KLHDC2	0	0	1	0	0	1	1	1
KNTC1	0	0	1	0	0	1	1	1
KRT38	0	0	0	1	0	1	1	1
